author_key,author_name,ebook_access,edition_count,first_publish_year,has_fulltext,key,language,public_scan_b,title,cover_edition_key,cover_i,series_key,series_name,series_position,subtitle,ia,ia_collection
['OL26320A'],['J.R.R. Tolkien'],no_ebook,2,2026,False,/works/OL45346371W,['eng'],False,The Hobbit,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2025,False,/works/OL42610493W,,False,El Señor de los Anillos. Edición ilustrada por el autor,OL57884217M,14846613,,,,,,
"['OL26320A', 'OL6495404A', 'OL1078747A']","['J.R.R. Tolkien', 'Verlyn Flieger', 'Pauline Baynes']",no_ebook,1,2025,False,/works/OL42412151W,['eng'],False,Smith of Wootton Major,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2025,False,/works/OL42554726W,['eng'],False,Hobbit and the Lord of the Rings Illustrated by Alan Lee Box Set,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2025,False,/works/OL43562374W,,False,Historia de la Tierra Media 3,OL59377340M,15096515,,,,,,
"['OL16021258A', 'OL26320A']","['Tom Racine', 'J.R.R. Tolkien']",no_ebook,4,2025,False,/works/OL44543308W,['eng'],False,Doomed to Die,,,,,,,,
"['OL26320A', 'OL2453782A', 'OL7647416A']","['J.R.R. Tolkien', 'Charles Dixon', 'David Wenzel']",no_ebook,1,2025,False,/works/OL44552594W,['eng'],False,Hobbit Graphic Novel,,,,,,,,
['OL2977155A'],['Michael Tolkien'],no_ebook,1,2025,False,/works/OL44590080W,['eng'],False,Collected Poems,,,,,,,,
['OL1477672A'],['Simon Tolkien'],no_ebook,2,2025,False,/works/OL42429629W,['eng'],False,Palace at the End of the Sea,,,,,,,,
['OL1477672A'],['Simon Tolkien'],no_ebook,2,2025,False,/works/OL42439133W,['eng'],False,Room of Lost Steps,,,,,,,,
"['OL26320A', 'OL2623360A']","['J.R.R. Tolkien', 'Christopher Tolkien']",no_ebook,3,2025,False,/works/OL44546628W,['eng'],False,Bovadium Fragments,,,,,,,,
"['OL26320A', 'OL2623360A', 'OL1078747A']","['J.R.R. Tolkien', 'Christopher Tolkien', 'Pauline Baynes']",no_ebook,1,2025,False,/works/OL42397579W,['eng'],False,Tree and Leaf,,,,,,,,
"['OL26320A', 'OL2623360A']","['J.R.R. Tolkien', 'Christopher Tolkien']",no_ebook,2,2025,False,/works/OL42441174W,['eng'],False,Tolkien Myths and Legends Box Set,,,,,,,,
"['OL26320A', 'OL475982A', 'OL7958794A', 'OL7386545A']","['J.R.R. Tolkien', 'Brian Sibley', 'Alan Lee', 'Martin Simonson']",no_ebook,1,2025,False,/works/OL44608156W,['spa'],False,Caída de Númenor / the Fall of Númenor,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL38120344W,['eng'],False,Mr Bliss,,,,,,,,
"['OL26320A', 'OL9713202A', 'OL10164549A']","['J.R.R. Tolkien', 'Nicolette Caven', 'Warner Brothers Studio']",no_ebook,1,2024,False,/works/OL38128004W,['eng'],False,Lord of the Rings Movie Trilogy Colouring Book,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL42332717W,['bel'],False,Валадар Пярсцёнкаў. Вяртанне Караля,OL57426253M,14833144,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL43562356W,,False,Historia de la Tierra Media 2,OL59377315M,15096514,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL38384053W,['eng'],False,Lord of the Rings Deluxe Illustrated Box Set,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL38384252W,['eng'],False,Lord of the Rings Collector's Edition Box Set,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL38403390W,['spa'],False,Historia de la Tierra Media 1,OL52243300M,15087883,,,,,,
"['OL26320A', 'OL2623691A', 'OL39015A']","['J.R.R. Tolkien', 'Christina Scull', 'Wayne G. Hammond']",no_ebook,4,2024,False,/works/OL38014546W,['eng'],False,Collected Poems of J. R. R. Tolkien,OL51586564M,15238879,,,,,,
"['OL2623360A', 'OL26320A']","['Christopher Tolkien', 'J.R.R. Tolkien']",no_ebook,2,2024,False,/works/OL37625582W,['eng'],False,History of Middle-Earth Box Set #2,OL50622938M,14616510,['OL339710L'],['The History of Middle-earth'],['3-5'],,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2024,False,/works/OL44576580W,['eng'],False,"Collector's Edition, the Hobbit, the Silmarillion, the Fellowship of the Ring, the Two Towers, the Return of the King (the Lord of the Rings Vol. 1-3), 5 Books Set, by J.R.R. Tolkien",,,,,,,,
"['OL3371415A', 'OL2623360A']","['Humphrey Carpenter', 'Christopher Tolkien']",no_ebook,2,2023,False,/works/OL35719924W,['eng'],False,Letters of J. R. R. Tolkien,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2023,False,/works/OL37899411W,['ita'],False,La formazione della Terra di Mezzo,OL51160351M,14588946,,,,,,
['OL2977155A'],['Michael Tolkien'],no_ebook,2,2023,False,/works/OL36736755W,['eng'],False,Alive in Winter,,,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,1,2023,False,/works/OL34444401W,['eng'],False,Tolkien Calendar 2024,OL46721878M,13945179,,,,,,
['OL26320A'],['J.R.R. Tolkien'],no_ebook,2,2023,False,/works/OL34051627W,['eng'],False,History of the Hobbit,OL46110844M,13969540,,,,,,
